Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
1533,2,C,35508,407,64.58333333,64.58333333,4,4750,5250,2500,3500,0,0,2500,3500,6,6,0,0,0
1534,3,C,35508,407,56.25,56.25,5,4750,5200,2500,3500,0,0,2500,3500,6,6,0,0,0
1535,8,C,35508,407,0,0,6,4750,4500,2500,3500,0,0,2500,3500,6,6,0,0,0
1536,6,C,35508,407,0,0,7,4750,4400,2500,3500,0,0,2500,3500,6,6,0,0,0
1537,5,C,35508,407,0,0,8,4750,4200,2500,3500,0,0,2500,3500,6,6,0,0,0
1538,3,C,35508,408,325,-325,1,600,1600,500,600,0,0,500,600,6,2,0,0,0
1539,1,C,35508,408,154.1785714,154.1785714,2,600,1250,500,600,0,0,500,600,6,2,0,0,0
1540,4,C,35508,408,79.17857143,79.17857143,3,600,1100,500,600,0,0,500,600,6,2,0,0,0
1541,5,C,35508,408,29.17857143,29.17857143,4,600,900,500,600,0,0,500,600,6,2,0,0,0
1542,6,C,35508,408,20.8452381,20.8452381,5,600,850,500,600,0,0,500,600,6,2,0,0,0
1543,8,C,35508,408,20.8452381,20.8452381,6,600,850,500,600,0,0,500,600,6,2,0,0,0
1544,7,C,35508,408,11.8452381,11.8452381,7,600,760,500,600,0,0,500,600,6,2,0,0,0
1545,2,C,35508,408,8.928571429,8.928571429,8,600,725,500,600,0,0,500,600,6,2,0,0,0
1546,4,C,35508,409,500,-500,1,4000,5900,2500,3000,0,0,2500,3000,6,2,0,0,0
1547,1,C,35508,409,345.8333333,345.8333333,2,4000,5000,2500,3000,0,0,2500,3000,6,2,0,0,0
1548,2,C,35508,409,95.83333333,95.83333333,3,4000,4500,2500,3000,0,0,2500,3000,6,2,0,0,0
1549,7,C,35508,409,33.33333333,33.33333333,4,4000,4250,2500,3000,0,0,2500,3000,6,2,0,0,0
1550,5,C,35508,409,25,25,5,4000,4200,2500,3000,0,0,2500,3000,6,2,0,0,0
1551,3,C,35508,409,0,0,6,4000,3700,2500,3000,0,0,2500,3000,6,2,0,0,0
1552,8,C,35508,409,0,0,7,4000,3500,2500,3000,0,0,2500,3000,6,2,0,0,0
1553,6,C,35508,409,0,0,8,4000,2500,2500,3000,0,0,2500,3000,6,2,0,0,0
1554,4,C,35508,410,575,-575,1,1150,2900,1000,1200,0,0,1000,1200,3,2,0,0,0
1555,1,C,35508,410,375.8928571,375.8928571,2,1150,2300,1000,1200,0,0,1000,1200,3,2,0,0,0
1556,8,C,35508,410,75.89285714,75.89285714,3,1150,1700,1000,1200,0,0,1000,1200,3,2,0,0,0
1557,7,C,35508,410,50.89285714,50.89285714,4,1150,1600,1000,1200,0,0,1000,1200,3,2,0,0,0
1558,3,C,35508,410,34.22619048,34.22619048,5,1150,1500,1000,1200,0,0,1000,1200,3,2,0,0,0
1559,5,C,35508,410,15.47619048,15.47619048,6,1150,1350,1000,1200,0,0,1000,1200,3,2,0,0,0
1560,2,C,35508,410,15.47619048,15.47619048,7,1150,1350,1000,1200,0,0,1000,1200,3,2,0,0,0
1561,6,C,35508,410,7.142857143,7.142857143,8,1150,1250,1000,1200,0,0,1000,1200,3,2,0,0,0
1562,1,C,35508,411,75,-75,1,1150,1500,500,750,0,0,500,750,6,2,0,0,0
1563,7,C,35508,411,50,50,2,1150,1300,500,750,0,0,500,750,6,2,0,0,0
1564,4,C,35508,411,25,25,3,1150,1250,500,750,0,0,500,750,6,2,0,0,0
1565,3,C,35508,411,0,0,4,1150,1100,500,750,0,0,500,750,6,2,0,0,0
1566,5,C,35508,411,0,0,5,1150,900,500,750,0,0,500,750,6,2,0,0,0
1567,2,C,35508,411,0,0,6,1150,850,500,750,0,0,500,750,6,2,0,0,0
1568,8,C,35508,411,0,0,7,1150,700,500,750,0,0,500,750,6,2,0,0,0
1569,5,C,35508,413,0,0,1,160,125,0,0,67.5,1,67.5,67.5,3,3,0,0,0
1570,5,C,35508,418,0,0,1,210,180,0,0,445,1,445,445,3,2,0,0,0
1571,5,C,35508,420,0,0,1,105,100,0,0,125,1,125,125,1,1,0,0,0
1572,5,C,35508,421,0,0,1,850,650,0,0,1100,1,1100,1100,3,3,0,0,0
1573,4,C,35508,434,0,0,1,3250,3700,2000,2000,0,0,2000,2000,3,2,0,0,0
1574,5,C,35508,434,0,0,2,3250,2600,2000,2000,0,0,2000,2000,3,2,0,0,0
1575,3,C,35508,434,0,0,3,3250,1500,2000,2000,0,0,2000,2000,3,2,0,0,0
1576,4,C,35508,435,200,-200,1,700,1950,500,600,0,0,500,600,6,2,0,0,0
1577,3,C,35508,435,200,200,2,700,1100,500,600,0,0,500,600,6,2,0,0,0
1578,2,C,35508,435,0,0,3,700,700,500,600,0,0,500,600,6,2,0,0,0
1579,1,C,35508,435,0,0,4,700,600,500,600,0,0,500,600,6,2,0,0,0
1580,7,C,35508,436,0,0,1,300,350,300,400,0,0,300,400,6,6,0,0,0
1581,1,C,35508,436,0,0,2,300,270,300,400,0,0,300,400,6,6,0,0,0
1582,4,C,35508,436,0,0,3,300,150,300,400,0,0,300,400,6,6,0,0,0
1583,7,C,35508,437,20,-20,1,400,1100,250,350,0,0,250,350,3,2,0,0,0
1584,4,C,35508,437,20,20,2,400,440,250,350,0,0,250,350,3,2,0,0,0
1585,1,C,35508,437,0,0,3,400,400,250,350,0,0,250,350,3,2,0,0,0
1586,1,C,35508,438,0,0,1,250,170,200,300,0,0,200,300,6,2,0,0,0
1587,1,C,35508,439,30,-30,1,240,325,150,250,0,0,150,250,3,2,0,0,0
1588,4,C,35508,439,30,30,2,240,300,150,250,0,0,150,250,3,2,0,0,0
1589,5,C,35508,440,0,0,1,350,200,0,0,256,1,256,256,3,2,0,0,0
1590,5,C,35508,444,0,0,1,400,150,0,0,225,1,225,225,3,3,0,0,0
1591,5,C,35508,445,0,0,1,350,400,0,0,550,1,550,550,3,3,0,0,0
1592,5,C,35508,446,0,0,1,4500,3500,0,0,5750,1,5750,5750,2,2,0,0,0
1593,5,C,35508,447,0,0,1,2600,2500,0,0,7000,1,7000,7000,2,2,0,0,0
1594,3,C,35508,447,0,0,2,2600,1100,0,0,7000,1,7000,7000,2,2,0,0,0
1595,5,C,35508,448,0,0,1,650,500,0,0,350,1,350,350,3,3,0,0,0
1596,5,C,35508,449,0,0,1,350,275,0,0,300,1,300,300,2,2,0,0,0
1597,5,C,35508,450,0,0,1,950,750,0,0,754.25,1,754.25,754.25,3,2,0,0,0
1598,3,C,35508,450,0,0,2,950,420,0,0,754.25,1,754.25,754.25,3,2,0,0,0
1599,5,C,35508,451,0,0,1,270,250,0,0,80,1,80,80,2,2,0,0,0
1600,5,C,35508,452,0,0,1,135,100,0,0,0,1,0,0,2,2,0,0,1
1601,5,C,35508,453,0,0,1,130,100,0,0,0,1,0,0,2,2,0,0,1
